system,family,n,seed,paths_total,path_index,method,status,final_t,elapsed_sec,iterations
katsura3,katsura,3,217337003,4,1,order3_apriori,success,1.0,1.301643417,32
katsura3,katsura,3,217337003,4,2,order3_apriori,success,1.0,0.027881333,14
katsura3,katsura,3,217337003,4,3,order3_apriori,success,1.0,0.035170375,17
katsura3,katsura,3,217337003,4,4,order3_apriori,success,1.0,0.068526584,25
katsura4,katsura,4,217337004,8,1,order3_apriori,success,1.0,0.399555792,99
katsura4,katsura,4,217337004,8,2,order3_apriori,success,1.0,0.733656083,31
katsura4,katsura,4,217337004,8,3,order3_apriori,success,1.0,0.031261959,17
katsura4,katsura,4,217337004,8,4,order3_apriori,success,1.0,0.060621667,31
katsura4,katsura,4,217337004,8,5,order3_apriori,success,1.0,0.068886875,30
katsura4,katsura,4,217337004,8,6,order3_apriori,success,1.0,0.046527,17
katsura4,katsura,4,217337004,8,7,order3_apriori,success,1.0,0.062511833,29
katsura4,katsura,4,217337004,8,8,order3_apriori,success,1.0,0.071935,34
katsura5,katsura,5,217337005,16,1,order3_apriori,success,1.0,0.723621,80
katsura5,katsura,5,217337005,16,2,order3_apriori,success,1.0,0.147379292,48
katsura5,katsura,5,217337005,16,3,order3_apriori,success,1.0,0.507191959,61
katsura5,katsura,5,217337005,16,4,order3_apriori,success,1.0,0.074292,26
katsura5,katsura,5,217337005,16,5,order3_apriori,success,1.0,0.154797625,53
katsura5,katsura,5,217337005,16,6,order3_apriori,success,1.0,0.484782167,61
katsura5,katsura,5,217337005,16,7,order3_apriori,success,1.0,0.37383025,77
katsura5,katsura,5,217337005,16,8,order3_apriori,success,1.0,0.642916583,23
katsura5,katsura,5,217337005,16,9,order3_apriori,success,1.0,0.097409375,30
katsura5,katsura,5,217337005,16,10,order3_apriori,success,1.0,0.173289625,54
katsura5,katsura,5,217337005,16,11,order3_apriori,success,1.0,0.621361833,76
katsura5,katsura,5,217337005,16,12,order3_apriori,success,1.0,0.21708375,58
katsura5,katsura,5,217337005,16,13,order3_apriori,success,1.0,0.10621875,23
katsura5,katsura,5,217337005,16,14,order3_apriori,success,1.0,0.633526916,35
katsura5,katsura,5,217337005,16,15,order3_apriori,success,1.0,0.179797,56
katsura5,katsura,5,217337005,16,16,order3_apriori,success,1.0,0.159481167,36
katsura6,katsura,6,217337006,32,1,order3_apriori,success,1.0,2.054847666,77
katsura6,katsura,6,217337006,32,2,order3_apriori,success,1.0,1.282841291,71
katsura6,katsura,6,217337006,32,3,order3_apriori,success,1.0,0.305909292,59
katsura6,katsura,6,217337006,32,4,order3_apriori,success,1.0,1.224337042,78
katsura6,katsura,6,217337006,32,5,order3_apriori,success,1.0,0.94825775,48
katsura6,katsura,6,217337006,32,6,order3_apriori,success,1.0,0.282817708,50
katsura6,katsura,6,217337006,32,7,order3_apriori,success,1.0,0.713308417,64
katsura6,katsura,6,217337006,32,8,order3_apriori,success,1.0,0.722761208,71
katsura6,katsura,6,217337006,32,9,order3_apriori,success,1.0,0.61266125,76
katsura6,katsura,6,217337006,32,10,order3_apriori,success,1.0,0.6272905,76
katsura6,katsura,6,217337006,32,11,order3_apriori,success,1.0,0.638182875,88
katsura6,katsura,6,217337006,32,12,order3_apriori,success,1.0,0.672622917,87
katsura6,katsura,6,217337006,32,13,order3_apriori,success,1.0,0.428313542,47
katsura6,katsura,6,217337006,32,14,order3_apriori,success,1.0,0.44567,45
katsura6,katsura,6,217337006,32,15,order3_apriori,success,1.0,0.5716735,73
katsura6,katsura,6,217337006,32,16,order3_apriori,success,1.0,0.549063083,70
katsura6,katsura,6,217337006,32,17,order3_apriori,success,1.0,0.531802667,64
katsura6,katsura,6,217337006,32,18,order3_apriori,success,1.0,0.565981167,73
katsura6,katsura,6,217337006,32,19,order3_apriori,success,1.0,0.509089833,63
katsura6,katsura,6,217337006,32,20,order3_apriori,success,1.0,0.553698166,78
katsura6,katsura,6,217337006,32,21,order3_apriori,success,1.0,0.725821209,103
katsura6,katsura,6,217337006,32,22,order3_apriori,success,1.0,0.84547025,93
katsura6,katsura,6,217337006,32,23,order3_apriori,success,1.0,0.589698,82
katsura6,katsura,6,217337006,32,24,order3_apriori,success,1.0,0.674743125,93
katsura6,katsura,6,217337006,32,25,order3_apriori,success,1.0,0.418026125,42
katsura6,katsura,6,217337006,32,26,order3_apriori,success,1.0,0.448551458,42
katsura6,katsura,6,217337006,32,27,order3_apriori,success,1.0,0.558017208,67
katsura6,katsura,6,217337006,32,28,order3_apriori,success,1.0,0.528034542,64
katsura6,katsura,6,217337006,32,29,order3_apriori,success,1.0,0.3133055,67
katsura6,katsura,6,217337006,32,30,order3_apriori,success,1.0,0.547459791,65
katsura6,katsura,6,217337006,32,31,order3_apriori,success,1.0,0.598861125,75
katsura6,katsura,6,217337006,32,32,order3_apriori,success,1.0,0.792169833,78
random(2^3),random_dense,3,217347003,8,1,order3_apriori,success,1.0,0.026093334,15
random(2^3),random_dense,3,217347003,8,2,order3_apriori,success,1.0,0.022693625,13
random(2^3),random_dense,3,217347003,8,3,order3_apriori,success,1.0,0.100345,55
random(2^3),random_dense,3,217347003,8,4,order3_apriori,success,1.0,0.037801083,19
random(2^3),random_dense,3,217347003,8,5,order3_apriori,success,1.0,0.033386292,17
random(2^3),random_dense,3,217347003,8,6,order3_apriori,success,1.0,0.3039815,24
random(2^3),random_dense,3,217347003,8,7,order3_apriori,success,1.0,0.082001584,35
random(2^3),random_dense,3,217347003,8,8,order3_apriori,success,1.0,0.057733042,32
random(2^4),random_dense,4,217347004,16,1,order3_apriori,success,1.0,0.172347666,37
random(2^4),random_dense,4,217347004,16,2,order3_apriori,success,1.0,0.454400333,36
random(2^4),random_dense,4,217347004,16,3,order3_apriori,success,1.0,0.093111417,23
random(2^4),random_dense,4,217347004,16,4,order3_apriori,success,1.0,0.506016667,34
random(2^4),random_dense,4,217347004,16,5,order3_apriori,success,1.0,0.215042584,52
random(2^4),random_dense,4,217347004,16,6,order3_apriori,success,1.0,0.584015291,90
random(2^4),random_dense,4,217347004,16,7,order3_apriori,success,1.0,0.371795542,34
random(2^4),random_dense,4,217347004,16,8,order3_apriori,success,1.0,0.435266292,49
random(2^4),random_dense,4,217347004,16,9,order3_apriori,success,1.0,0.100983292,27
random(2^4),random_dense,4,217347004,16,10,order3_apriori,success,1.0,0.121869708,30
random(2^4),random_dense,4,217347004,16,11,order3_apriori,success,1.0,0.361435125,29
random(2^4),random_dense,4,217347004,16,12,order3_apriori,success,1.0,0.458634,52
random(2^4),random_dense,4,217347004,16,13,order3_apriori,success,1.0,0.104707833,28
random(2^4),random_dense,4,217347004,16,14,order3_apriori,success,1.0,0.420957542,51
random(2^4),random_dense,4,217347004,16,15,order3_apriori,success,1.0,0.128750542,33
